============================================================
  程序 2：标定数据采集
  路径: /home/wy/RS/SEEED/REBOOT/reBotArm_control_py/config/calibration_path.yaml
  waypoint: 162  target: 80
  URDF SHA256: 79ad843b513c1a5b...
============================================================
[使能] OK

  [1/162] home           home                        
  [2/162] approach_minus pose_01_approach_minus      
  [3/162] target         pose_01_target_minus        
  [4/162] approach_plus  pose_01_approach_plus       
  [5/162] target         pose_01_target_plus         
  [6/162] approach_minus pose_02_approach_minus      
  [7/162] target         pose_02_target_minus        
  [8/162] approach_plus  pose_02_approach_plus       
  [9/162] target         pose_02_target_plus         
  [10/162] approach_minus pose_03_approach_minus      
  [11/162] target         pose_03_target_minus        
  [12/162] approach_plus  pose_03_approach_plus       
  [13/162] target         pose_03_target_plus         
  [14/162] approach_minus pose_04_approach_minus      
  [15/162] target         pose_04_target_minus        
  [16/162] approach_plus  pose_04_approach_plus       
  [17/162] target         pose_04_target_plus         
  [18/162] approach_minus pose_05_approach_minus      
  [19/162] target         pose_05_target_minus        
  [20/162] approach_plus  pose_05_approach_plus       
  [21/162] target         pose_05_target_plus         
  [22/162] approach_minus pose_06_approach_minus      
  [23/162] target         pose_06_target_minus        
  [24/162] approach_plus  pose_06_approach_plus       
  [25/162] target         pose_06_target_plus         
  [26/162] approach_minus pose_07_approach_minus      
  [27/162] target         pose_07_target_minus        
  [28/162] approach_plus  pose_07_approach_plus       
  [29/162] target         pose_07_target_plus         
  [30/162] approach_minus pose_08_approach_minus      
  [31/162] target         pose_08_target_minus        
  [32/162] approach_plus  pose_08_approach_plus       
  [33/162] target         pose_08_target_plus         
  [34/162] approach_minus pose_09_approach_minus      
  [35/162] target         pose_09_target_minus        
  [36/162] approach_plus  pose_09_approach_plus       
  [37/162] target         pose_09_target_plus         
  [38/162] approach_minus pose_10_approach_minus      
  [39/162] target         pose_10_target_minus        
  [40/162] approach_plus  pose_10_approach_plus       
  [41/162] target         pose_10_target_plus         
  [42/162] approach_minus pose_11_approach_minus      
  [43/162] target         pose_11_target_minus        
  [44/162] approach_plus  pose_11_approach_plus       
  [45/162] target         pose_11_target_plus         
  [46/162] approach_minus pose_12_approach_minus      
  [47/162] target         pose_12_target_minus        
  [48/162] approach_plus  pose_12_approach_plus       
  [49/162] target         pose_12_target_plus         
  [50/162] approach_minus pose_13_approach_minus      
  [51/162] target         pose_13_target_minus        
  [52/162] approach_plus  pose_13_approach_plus       
  [53/162] target         pose_13_target_plus         
  [54/162] approach_minus pose_14_approach_minus      
  [55/162] target         pose_14_target_minus        
  [56/162] approach_plus  pose_14_approach_plus       
  [57/162] target         pose_14_target_plus         
  [58/162] approach_minus pose_15_approach_minus      
  [59/162] target         pose_15_target_minus        
  [60/162] approach_plus  pose_15_approach_plus       
  [61/162] target         pose_15_target_plus         
